date,usd_inr_rate
2016-02-29,68.7375
2016-03-01,68.2285
2016-03-02,67.7565
2016-03-03,67.375
2016-03-04,67.1465
2016-03-05,66.89
2016-03-06,66.9375
2016-03-07,66.9375
2016-03-08,66.9765
2016-03-09,67.3195
2016-03-10,67.0845
2016-03-11,67.1985
2016-03-12,66.9595
2016-03-13,66.9205
2016-03-14,66.9205
2016-03-15,67.1355
2016-03-16,67.3595
2016-03-17,67.2395
2016-03-18,66.47
2016-03-19,66.3475
2016-03-20,66.3835
2016-03-21,66.3835
2016-03-22,66.5305
2016-03-23,66.6095
2016-03-24,66.9
2016-03-25,66.8395
2016-03-26,66.87
2016-03-27,66.9145
2016-03-28,66.9145
2016-03-29,66.59
2016-03-30,66.32
2016-03-31,66.22
2016-04-01,66.17
2016-04-02,66.32
2016-04-03,66.3655
2016-04-04,66.3655
2016-04-05,66.0555
2016-04-06,66.4245
2016-04-07,66.5705
2016-04-08,66.7245
2016-04-09,66.5255
2016-04-10,66.5515
2016-04-11,66.5515
2016-04-12,66.3185
2016-04-13,66.3045
2016-04-14,66.5075
2016-04-15,66.6725
2016-04-16,66.4935
2016-04-17,66.6605
2016-04-18,66.6605
2016-04-19,66.4645
2016-04-20,66.1615
2016-04-21,66.1225
2016-04-22,66.4575
2016-04-23,66.6655
2016-04-24,66.6605
2016-04-25,66.6605
2016-04-26,66.6815
2016-04-27,66.4035
2016-04-28,66.5115
2016-04-29,66.4345
2016-04-30,66.4285
2016-05-01,66.4255
2016-05-02,66.4255
2016-05-03,66.3595
2016-05-04,66.4765
2016-05-05,66.6395
2016-05-06,66.5535
2016-05-07,66.5765
2016-05-08,66.6015
2016-05-09,66.6015
2016-05-10,66.7115
2016-05-11,66.6175
2016-05-12,66.5335
2016-05-13,66.74
2016-05-14,66.98
2016-05-15,66.925
2016-05-16,66.925
2016-05-17,66.8165
2016-05-18,66.8545
2016-05-19,67.0215
2016-05-20,67.4815
2016-05-21,67.42
2016-05-22,67.4305
2016-05-23,67.4305
2016-05-24,67.4585
2016-05-25,67.7105
2016-05-26,67.2455
2016-05-27,66.9405
2016-05-28,66.9755
2016-05-29,67.0315
2016-05-30,67.0315
2016-05-31,67.1195
2016-06-01,67.1465
2016-06-02,67.4575
2016-06-03,67.2565
2016-06-04,66.925
2016-06-05,66.9995
2016-06-06,66.9995
2016-06-07,66.8125
2016-06-08,66.72
2016-06-09,66.5065
2016-06-10,66.7205
2016-06-11,66.9235
2016-06-12,66.9525
2016-06-13,66.9525
2016-06-14,67.1985
2016-06-15,67.37
2016-06-16,67.1
2016-06-17,67.3135
2016-06-18,67.0925
2016-06-19,67.0735
2016-06-20,67.0735
2016-06-21,67.56
2016-06-22,67.6975
2016-06-23,67.4975
2016-06-24,67.2915
2016-06-25,67.8345
2016-06-26,67.8845
2016-06-27,67.8845
2016-06-28,67.9235
2016-06-29,67.7755
2016-06-30,67.4385
2016-07-01,67.5075
2016-07-02,67.1905
2016-07-03,67.1895
2016-07-04,67.1895
2016-07-05,67.2715
2016-07-06,67.4155
2016-07-07,67.4335
2016-07-08,67.4915
2016-07-09,67.16
2016-07-10,67.1395
2016-07-11,67.1395
2016-07-12,67.1605
2016-07-13,66.99
2016-07-14,67.0135
2016-07-15,66.8365
2016-07-16,67.0975
2016-07-17,67.1405
2016-07-18,67.1405
2016-07-19,67.1455
2016-07-20,67.1845
2016-07-21,67.1735
2016-07-22,67.1615
2016-07-23,67.18
2016-07-24,67.1535
2016-07-25,67.1535
2016-07-26,67.4205
2016-07-27,67.3605
2016-07-28,67.1445
2016-07-29,66.9935
2016-07-30,66.7655
2016-07-31,66.6555
2016-08-01,66.6555
2016-08-02,66.7145
2016-08-03,66.6695
2016-08-04,66.8035
2016-08-05,66.843
2016-08-06,66.846
2016-08-07,66.8425
2016-08-08,66.8425
2016-08-09,66.8295
2016-08-10,66.7795
2016-08-11,66.7635
2016-08-12,66.7655
2016-08-13,66.9065
2016-08-14,66.9085
2016-08-15,66.9085
2016-08-16,66.8677
2016-08-17,66.8674
2016-08-18,66.9751
2016-08-19,66.8525
2016-08-20,67.1419
2016-08-21,67.135
2016-08-22,67.1375
2016-08-23,67.1947
2016-08-24,67.0671
2016-08-25,67.0195
2016-08-26,67.034
2016-08-27,67.0915
2016-08-28,67.1365
2016-08-29,67.1365
2016-08-30,67.11
2016-08-31,67.1555
2016-09-01,66.9401
2016-09-02,66.615
2016-09-03,66.595
2016-09-04,66.7955
2016-09-05,66.5828
2016-09-06,66.465
2016-09-07,66.263
2016-09-08,66.4194
2016-09-09,66.6483
2016-09-10,66.895
2016-09-11,66.7855
2016-09-12,66.7974
2016-09-13,67.0398
2016-09-14,67.084
2016-09-15,66.8365
2016-09-16,66.8642
2016-09-17,67.105
2016-09-18,67.0755
2016-09-19,67.0753
2016-09-20,66.9791
2016-09-21,67.0047
2016-09-22,66.9994
2016-09-23,66.6154
2016-09-24,66.6699
2016-09-25,66.7065
2016-09-26,66.7065
2016-09-27,66.6013
2016-09-28,66.4274
2016-09-29,66.4738
2016-09-30,66.8442
2016-10-01,66.6213
2016-10-02,66.5555
2016-10-03,66.5565
2016-10-04,66.5174
2016-10-05,66.59
2016-10-06,66.55
2016-10-07,66.69
2016-10-08,66.6458
2016-10-09,66.6012
2016-10-10,66.4769
2016-10-11,66.8397
2016-10-12,66.8238
2016-10-13,66.7685
2016-10-14,66.6585
2016-10-15,66.7175
2016-10-16,66.7153
2016-10-17,66.7925
2016-10-18,66.7118
2016-10-19,66.6321
2016-10-20,66.845
2016-10-21,66.9405
2016-10-22,66.9212
2016-10-23,66.9212
2016-10-24,66.8942
2016-10-25,66.8123
2016-10-26,66.8358
2016-10-27,66.864
2016-10-28,66.7987
2016-10-29,66.7785
2016-10-30,66.7914
2016-10-31,66.715
2016-11-01,66.7275
2016-11-02,66.7205
2016-11-03,66.6876
2016-11-04,66.75
2016-11-05,66.7955
2016-11-06,66.7953
2016-11-07,66.74
2016-11-08,66.3725
2016-11-09,66.4925
2016-11-10,67.055
2016-11-11,67.725
2016-11-12,67.5655
2016-11-13,67.5655
2016-11-14,67.94
2016-11-15,67.81
2016-11-16,68.085
2016-11-17,67.9365
2016-11-18,68.13
2016-11-19,68.1905
2016-11-20,68.1753
2016-11-21,68.2275
2016-11-22,68.4125
2016-11-23,68.8805
2016-11-24,68.7665
2016-11-25,68.5803
2016-11-26,68.5185
2016-11-27,68.5185
2016-11-28,68.5755
2016-11-29,68.6355
2016-11-30,68.5655
2016-12-01,68.3453
2016-12-02,68.0505
2016-12-03,68.0305
2016-12-04,68.0228
2016-12-05,68.0865
2016-12-06,67.70345
2016-12-07,67.5105
2016-12-08,67.425
2016-12-09,67.5127
2016-12-10,67.4705
2016-12-11,67.4778
2016-12-12,67.4001
2016-12-13,67.5
2016-12-14,67.4643
2016-12-15,67.9052
2016-12-16,67.8285
2016-12-17,67.845
2016-12-18,67.845
2016-12-19,67.8356
2016-12-20,68.0055
2016-12-21,67.8069
2016-12-22,67.8655
2016-12-23,67.85
2016-12-24,67.8408
2016-12-25,67.8408
2016-12-26,67.77
2016-12-27,67.9947
2016-12-28,68.21005
2016-12-29,67.915
2016-12-30,67.9055
2016-12-31,67.9548
2017-01-01,67.9548
2017-01-02,68.1434
2017-01-03,68.3637
2017-01-04,67.9055
2017-01-05,67.76
2017-01-06,68.1114
2017-01-07,68.1155
2017-01-08,68.1403
2017-01-09,68.09005
2017-01-10,68.26575
2017-01-11,68.2795
2017-01-12,67.9855
2017-01-13,68.1716
2017-01-14,68.1805
2017-01-15,68.1678
2017-01-16,68.091
2017-01-17,67.9164
2017-01-18,68.1178
2017-01-19,68.0944
2017-01-20,68.045
2017-01-21,68.0828
2017-01-22,68.0755
2017-01-23,68.1
2017-01-24,68.13
2017-01-25,68.0415
2017-01-26,68.18
2017-01-27,68.07005
2017-01-28,68.105
2017-01-29,68.105
2017-01-30,67.8088
2017-01-31,67.4856
2017-02-01,67.4599
2017-02-02,67.2091
2017-02-03,67.1365
2017-02-04,67.1845
2017-02-05,67.1673
2017-02-06,67.2035
2017-02-07,67.35
2017-02-08,67.0485
2017-02-09,66.744
2017-02-10,66.8285
2017-02-11,66.8535
2017-02-12,66.8524
2017-02-13,66.9965
2017-02-14,66.8841
2017-02-15,66.845
2017-02-16,67.135
2017-02-17,67.1
2017-02-18,67.0805
2017-02-19,67.0752
2017-02-20,66.9087
2017-02-21,67.0235
2017-02-22,66.9833
2017-02-23,66.68855
2017-02-24,66.6983
2017-02-25,66.645
2017-02-26,66.645
2017-02-27,66.7
2017-02-28,66.683
2017-03-01,66.775
2017-03-02,66.8017
2017-03-03,66.7888
2017-03-04,66.7805
2017-03-05,66.7805
2017-03-06,66.644
2017-03-07,66.62725
2017-03-08,66.76725
2017-03-09,66.6551
2017-03-10,66.625
2017-03-11,66.5555
2017-03-12,66.495
2017-03-13,66.1742
2017-03-14,65.7945
2017-03-15,65.565
2017-03-16,65.42365
2017-03-17,65.4287
2017-03-18,65.4755
2017-03-19,65.4781
2017-03-20,65.32165
2017-03-21,65.415
2017-03-22,65.415
2017-03-23,65.454
2017-03-24,65.4035
2017-03-25,65.4031
2017-03-26,65.4031
2017-03-27,65.0575
2017-03-28,65.0459
2017-03-29,64.8749
2017-03-30,64.785
2017-03-31,64.8599
2017-04-02,64.8067
2017-04-03,65.0267
2017-04-04,65.0388
2017-04-05,65.0351
2017-04-06,64.5883
2017-04-07,64.2619
2017-04-08,64.2705
2017-04-09,64.2705
2017-04-10,64.57
2017-04-11,64.69
2017-04-12,64.73
2017-04-13,64.5
2017-04-14,64.485
2017-04-15,64.4455
2017-04-16,64.4637
2017-04-17,64.415
2017-04-18,64.5796
2017-04-19,64.66
2017-04-20,64.72
2017-04-21,64.6511
2017-04-22,64.6505
2017-04-23,64.6518
2017-04-24,64.4935
2017-04-25,64.33
2017-04-26,64.127
2017-04-27,64.1161
2017-04-28,64.2617
2017-04-29,64.2905
2017-04-30,64.2683
2017-05-01,64.26
2017-05-02,64.17
2017-05-04,64.23
2017-05-05,64.24
2017-05-06,64.3155
2017-05-07,64.3155
2017-05-08,64.368
2017-05-09,64.6901
2017-05-10,64.5351
2017-05-11,64.3929
2017-05-12,64.155
2017-05-13,64.2435
2017-05-14,64.1755
2017-05-15,64.0251
2017-05-16,64.0449
2017-05-17,64.1261
2017-05-18,64.9542
2017-05-20,64.5655
2017-05-21,64.4585
2017-05-22,64.5351
2017-05-23,64.8937
2017-05-24,64.7751
2017-05-25,64.5491
2017-05-26,64.5294
2017-05-27,64.5232
2017-05-28,64.5232
2017-05-29,64.5399
2017-05-30,64.58
2017-05-31,64.5099
2017-06-01,64.3951
2017-06-02,64.26
2017-06-03,64.415
2017-06-04,64.415
2017-06-05,64.34
2017-06-06,64.43
2017-06-07,64.4452
2017-06-08,64.255
2017-06-09,64.37
2017-06-10,64.2455
